,min_char,max_char,letter,password,count,correct
0,1,9,x,xwjgxtmrzxzmkx,4,True
1,4,6,r,rrrkrgr,5,True
2,4,5,v,vvfvvvn,5,False
3,5,16,m,pxmrtmbmqmcldmmm,7,True
4,15,16,s,bsshsszslssssslqdsss,13,False
5,10,12,g,gggggggggzgvg,11,True
6,2,7,n,dntnrng,3,True
7,11,14,j,xrjflbmjszzjbjjh,5,False
8,2,6,r,frxrrrfjnmr,5,True
9,6,7,h,hplhgcsphh,4,False
10,4,5,w,wwwwz,4,False
11,1,6,g,ggdggnggg,7,False
12,3,4,c,cccc,4,False
13,5,8,k,kjgmkkfwxkwqkkgfnv,6,True
14,14,15,h,xpwhdjhhjhrdjkhfh,6,False
15,6,7,g,vgggggdhgsp,6,False
16,1,3,r,rtdcrthphrkzxh,3,False
17,15,16,j,jjjjjjstjjjjhjjjjj,15,False
18,8,10,k,kkkkpkkqkv,7,False
19,1,4,s,sssssj,5,False
20,2,3,d,hdbmbpswddwkkr,3,False
21,6,7,s,ssscssnss,7,False
22,8,9,z,zzzzzzzftz,8,False
23,7,8,t,glwvkgtn,1,False
24,3,10,n,nnnnnnnnnnn,11,False
25,5,7,z,lzzzzfhj,4,False
26,8,9,l,llllllltn,7,False
27,1,2,p,dpcppp,4,False
28,2,5,d,hcfdltbgt,1,False
29,13,16,r,rrdrrqrrrrrsbrrr,12,False
30,7,16,l,lllltllllllllllllrll,18,False
31,9,14,z,vzzzpzfzdzzzzzzfczz,13,True
32,3,5,f,ffffb,4,True
33,6,8,s,csssssjrbdsgs,7,True
34,9,18,r,rrrrrrbrrrjzdrrrcrr,14,True
35,2,5,d,fdzxdj,2,False
36,13,14,c,cclcccccccccmc,12,False
37,9,10,z,zzvszszjbnzzz,7,False
38,5,9,s,ssqshwsss,6,True
39,4,11,x,hxxxxjvdxcqplp,5,True
40,4,6,t,mxtrtttttttttt,11,False
41,3,8,w,wmwwwnbmtw,5,True
42,5,6,x,xsczxd,2,False
43,2,7,w,pwvtgkwwwrpjr,4,True
44,7,9,w,wwwwwwwwj,8,True
45,3,9,h,hhhhbhhhschhh,10,False
46,1,4,p,tlwx,0,False
47,4,5,w,lhzjwwwwmv,4,False
48,6,7,p,ppppglprp,6,False
49,2,16,m,jqmmmmmzmmmmmjmbxmw,12,True
50,8,10,g,zhggpgrrlctggg,6,False
51,7,18,z,pltbcznlvtzgzczzchbz,6,False
52,10,11,t,jttttgtttttt,10,False
53,3,8,k,kkkkkkkkkkk,11,False
54,19,20,x,xxxxxxxxxxxxxxxxxxwr,18,False
55,9,16,l,llllllflllllxpllzl,14,True
56,10,12,m,mmjmmmmmmvms,9,False
57,1,4,c,cdxvxczcc,4,False
58,7,10,n,nnnnfnvpncn,7,False
59,10,17,z,zszzzrzczxzfzzzzlz,12,True
60,4,9,k,kkkdkkkkfk,8,True
61,12,13,m,mmgmmqfgmmtmm,8,False
62,4,6,s,tdmmcs,1,False
63,10,16,n,nkfpnncncnnntmtc,7,False
64,2,3,w,vwhwf,2,False
65,7,17,w,wwfwwwqhwwwwcwwww,13,True
66,5,8,q,tkqrtqqsqkwq,5,False
67,9,10,p,ptpppppppd,8,False
68,1,5,f,cnncnmnf,1,False
69,2,9,k,kkjdsnsqkgprtqb,3,True
70,9,11,n,nplnnnnnnnmnn,10,True
71,4,6,r,rrkrzrr,5,True
72,3,5,z,zzzzsq,4,True
73,17,18,r,rrrrrrrrrrrrrrrrrx,17,False
74,5,8,c,rcccdcclc,6,True
75,1,9,c,vcccccccbc,8,True
76,9,10,x,xxxxcbxxxm,7,False
77,2,5,c,cccfn,3,True
78,8,9,c,cccccnctc,7,False
79,4,8,l,flrhfzwllm,3,False
80,1,5,l,fllfllrklx,5,False
81,5,10,j,jrjkrjjjjxgjqj,8,True
82,5,10,v,dsxvmvvjtsc,3,False
83,4,6,v,bsqvdghvnzdfvjcfvvv,6,False
84,6,11,m,mmmmmmmmmmpm,11,False
85,6,9,q,qqgqkcccsgqqjspj,5,False
86,2,5,n,nvsrc,1,False
87,14,15,n,nnnnnnnnnnnbnms,12,False
88,3,4,m,mmbm,3,False
89,3,11,h,hhbhhhhhhhhhhhhhhhh,18,False
90,7,9,k,kkkkbknkjv,6,False
91,11,15,g,ggvgggfgbgvvzjgxghgg,11,False
92,3,4,z,zzzz,4,False
93,2,5,w,wwwhww,5,False
94,9,14,j,jjjjjjjjtjjjjw,12,True
95,2,4,j,jjbljsj,4,False
96,6,9,w,bwtkbttwqvwk,3,False
97,1,3,l,lllpjl,4,False
98,9,10,g,ggfmggggsrggggg,11,False
99,3,5,t,ttwzxl,2,False
100,5,7,k,kkwtbckkk,5,False
101,9,11,r,rbgrrhrrrrrr,9,False
102,9,12,g,ggggggsggglnggg,12,False
103,1,5,b,bbbwjs,3,True
104,6,7,m,xkjmdmm,3,False
105,6,8,g,gggggwgw,6,False
106,12,15,v,vrvvvqvvpvzvvvvrhqv,12,False
107,15,17,s,hsnjsrsdxpjswsxsss,8,False
108,9,12,r,rnhnrrsrrrrr,8,False
109,1,3,d,ddnd,3,False
110,1,11,m,mmtxkcdrvcmx,3,True
111,1,18,k,kxkkkskkkkkktkkmkc,13,True
112,5,9,h,vfxhhshhvhhbhr,7,True
113,2,3,k,wtrcckttcqrj,1,False
114,2,7,q,wnqcqqxw,3,True
115,1,9,s,sqsssslsssssssssss,16,False
116,4,6,p,mwvpppzp,4,False
117,1,4,v,qlvnvv,3,True
118,10,11,z,lzzzzzzzznt,8,False
119,2,14,q,qwqqqqqqqqqqqfqqr,14,False
120,15,20,d,dddddzddddddddlddddt,17,True
121,11,15,m,fvsqwbnqmbnmgcm,3,False
122,3,4,c,fncnfdjzcxwbpcrn,3,False
123,4,7,z,jsxzzszzqtwzmcznfs,6,True
124,5,6,x,glxxxxrxfxxwl,7,False
125,5,13,b,pdbvhwjwnbdwbrbbjwf,5,False
126,7,8,h,hhthhhvvt,5,False
127,8,11,f,pfffffxffpbf,8,False
128,5,6,n,ndtlxnnnqdmcnv,5,False
129,10,12,s,sssssswssdshssss,13,False
130,15,16,s,ssssssssssqsssss,15,False
131,4,5,s,sssss,5,False
132,3,4,g,ggggg,5,False
133,3,4,c,ccjv,2,False
134,7,12,v,rrrngfwhslsbpvbmwnn,1,False
135,4,10,n,nxnbnnnbxnnn,8,True
136,7,15,d,fggdddpgslqgdwhdndw,6,False
137,6,10,h,hhzzghhfdchhjnm,6,False
138,8,9,c,cccccccnc,8,False
139,9,10,h,hhhhhhhhll,8,False
140,2,16,w,nwfwwwzwvrbmwwww,9,True
141,10,13,k,kkkksjkkskqtkkmkknks,12,True
142,4,9,f,fffwfffbkc,6,True
143,4,11,v,gcfkvvvvfvv,6,True
144,2,5,l,llflftlmlglc,6,False
145,7,10,l,llldljllgsbl,7,False
